League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,PlayersScored,CoachHome,CoachAway,Referee
SP1,2024-25,2023-01-10,Almeria,Granada,3,3,D,17,19,5,4,,Pepe Mel,José Ramón Sandoval,
SP1,2024-25,2023-01-10,Alaves,Osasuna,0,2,A,17,10,3,3,,Luis García,Jagoba Arrasate,
SP1,2024-25,2023-01-10,Ath Madrid,Cadiz,3,2,H,18,8,9,4,,Diego Simeone,Mauricio Pellegrino,
SP1,2024-25,2023-01-10,Betis,Valencia,3,0,H,15,9,7,2,,Manuel Pellegrini,Rubén Baraja,
SP1,2024-25,2023-02-10,Las Palmas,Celta,2,1,H,16,11,5,3,,García Pimienta,Claudio Giráldez,
SP1,2024-25,2023-06-10,Ath Bilbao,Almeria,3,0,H,23,4,9,1,,Ernesto Valverde,Pepe Mel,
SP1,2024-25,2023-07-10,Cadiz,Girona,0,1,A,8,20,2,5,,Mauricio Pellegrino,Míchel,
SP1,2024-25,2023-07-10,Real Madrid,Osasuna,4,0,H,19,7,9,1,,Carlo Ancelotti,Jagoba Arrasate,
SP1,2024-25,2023-07-10,Mallorca,Valencia,1,1,D,9,11,5,3,,Javier Aguirre,Rubén Baraja,
SP1,2024-25,2023-07-10,Sevilla,Vallecano,2,2,D,22,7,6,4,,Quique Sánchez Flores,Iñigo Pérez,
SP1,2024-25,2023-08-10,Villarreal,Las Palmas,1,2,A,9,8,4,5,,Marcelino,García Pimienta,
SP1,2024-25,2023-08-10,Ath Madrid,Sociedad,2,1,H,14,13,5,4,,Diego Simeone,Imanol Alguacil,
SP1,2024-25,2023-08-10,Alaves,Betis,1,1,D,15,6,5,2,,Luis García,Manuel Pellegrini,
SP1,2024-25,2023-08-10,Celta,Getafe,2,2,D,26,3,11,2,,Claudio Giráldez,José Bordalás,
SP1,2024-25,2023-08-10,Granada,Barcelona,2,2,D,7,22,2,10,,José Ramón Sandoval,Xavi,
SP1,2024-25,,Osasuna,Granada,2,0,H,12,13,6,3,,Jagoba Arrasate,José Ramón Sandoval,
SP1,2024-25,,Sociedad,Mallorca,1,0,H,14,18,6,7,,Imanol Alguacil,Javier Aguirre,
SP1,2024-25,,Getafe,Betis,1,1,D,14,13,4,3,,José Bordalás,Manuel Pellegrini,
SP1,2024-25,,Sevilla,Real Madrid,1,1,D,17,14,7,5,,Quique Sánchez Flores,Carlo Ancelotti,
SP1,2024-25,,Celta,Ath Madrid,0,3,A,16,12,3,7,,Claudio Giráldez,Diego Simeone,
SP1,2024-25,,Las Palmas,Vallecano,0,1,A,12,12,6,4,,García Pimienta,Iñigo Pérez,
SP1,2024-25,,Girona,Almeria,5,2,H,19,9,8,5,,Míchel,Pepe Mel,
SP1,2024-25,,Villarreal,Alaves,1,1,D,12,16,3,7,,Marcelino,Luis García,
SP1,2024-25,,Barcelona,Ath Bilbao,1,0,H,12,10,7,3,,Xavi,Ernesto Valverde,
SP1,2024-25,,Valencia,Cadiz,2,0,H,12,5,4,4,,Rubén Baraja,Mauricio Pellegrino,
SP1,2024-25,,Girona,Celta,1,0,H,12,4,2,2,,Míchel,Claudio Giráldez,
SP1,2024-25,,Almeria,Las Palmas,1,2,A,10,10,4,3,,Pepe Mel,García Pimienta,
SP1,2024-25,,Barcelona,Real Madrid,1,2,A,15,13,3,4,,Xavi,Carlo Ancelotti,
SP1,2024-25,,Mallorca,Getafe,0,0,D,15,8,4,0,,Javier Aguirre,José Bordalás,
SP1,2024-25,,Cadiz,Sevilla,2,2,D,10,20,5,10,,Mauricio Pellegrino,Quique Sánchez Flores,
SP1,2024-25,,Betis,Osasuna,2,1,H,9,7,2,1,,Manuel Pellegrini,Jagoba Arrasate,
SP1,2024-25,,Vallecano,Sociedad,2,2,D,16,15,7,3,,Iñigo Pérez,Imanol Alguacil,
SP1,2024-25,,Ath Bilbao,Valencia,2,2,D,12,11,7,5,,Ernesto Valverde,Rubén Baraja,
SP1,2024-25,,Ath Madrid,Alaves,2,1,H,11,8,7,1,,Diego Simeone,Luis García,
SP1,2024-25,,Granada,Villarreal,2,3,A,18,6,8,5,,José Ramón Sandoval,Marcelino,
SP1,2024-25,2023-03-11,Las Palmas,Ath Madrid,2,1,H,9,13,3,5,,García Pimienta,Diego Simeone,
SP1,2024-25,2023-04-11,Osasuna,Girona,2,4,A,15,11,3,4,,Jagoba Arrasate,Míchel,
SP1,2024-25,2023-04-11,Betis,Mallorca,2,0,H,22,8,3,1,,Manuel Pellegrini,Javier Aguirre,
SP1,2024-25,2023-04-11,Celta,Sevilla,1,1,D,15,13,3,5,,Claudio Giráldez,Quique Sánchez Flores,
SP1,2024-25,2023-04-11,Sociedad,Barcelona,0,1,A,13,12,6,4,,Imanol Alguacil,Xavi,
SP1,2024-25,2023-05-11,Alaves,Almeria,1,0,H,23,9,3,3,,Luis García,Pepe Mel,
SP1,2024-25,2023-05-11,Valencia,Granada,1,0,H,11,6,2,1,,Rubén Baraja,José Ramón Sandoval,
SP1,2024-25,2023-05-11,Villarreal,Ath Bilbao,2,3,A,17,17,6,7,,Marcelino,Ernesto Valverde,
SP1,2024-25,2023-05-11,Real Madrid,Vallecano,0,0,D,22,4,5,0,,Carlo Ancelotti,Iñigo Pérez,
SP1,2024-25,2023-06-11,Getafe,Cadiz,1,0,H,13,6,3,2,,José Bordalás,Mauricio Pellegrino,
SP1,2024-25,2023-10-11,Ath Bilbao,Celta,4,3,H,21,13,12,5,,Ernesto Valverde,Claudio Giráldez,
SP1,2024-25,2023-11-11,Vallecano,Girona,1,2,A,22,19,9,7,,Iñigo Pérez,Míchel,
