League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,PlayersScored,CoachHome,CoachAway,Referee,HomeScored,AwayScored
SP1,2024-25,,Getafe,Betis,1,1,D,14,13,4,3,,José Bordalás,Manuel Pellegrini,César Soto,Borja Mayoral,Marc Roca
SP1,2024-25,,Sevilla,Real Madrid,1,1,D,17,14,7,5,,Quique Sánchez Flores,Carlo Ancelotti,"Ricardo de
                                    Burgos",,Dani Carvajal
SP1,2024-25,,Celta,Ath Madrid,0,3,A,16,12,3,7,,Claudio Giráldez,Diego Simeone,Guillermo Cuadra,,Antoine Griezmann; Antoine Griezmann; Antoine Griezmann
SP1,2024-25,,Las Palmas,Vallecano,0,1,A,12,12,6,4,,García Pimienta,Iñigo Pérez,"Javier
                                    Villanueva",,Bebé
SP1,2024-25,,Girona,Almeria,5,2,H,19,9,8,5,,Míchel,Pepe Mel,"Miguel
                                    Ángel Ortiz Arias",Iván Martín; Artem Dovbyk; Artem Dovbyk; Sávio; Cristhian Stuani,Léo Baptistão; Léo Baptistão
SP1,2024-25,,Villarreal,Alaves,1,1,D,12,16,3,7,,Marcelino,Luis García,Jesús Gil,Gerard Moreno,Samu Omorodion
SP1,2024-25,,Barcelona,Ath Bilbao,1,0,H,12,10,7,3,,Xavi,Ernesto Valverde,Juan Martínez,Marc Guiu,
SP1,2024-25,,Valencia,Cadiz,2,0,H,12,5,4,4,,Rubén Baraja,Mauricio Pellegrino,Pablo González,José Luis Gayà; Hugo Duro,
SP1,2024-25,,Girona,Celta,1,0,H,12,4,2,2,,Míchel,Claudio Giráldez,"Isidro Díaz de
                                    Mera",Yangel Herrera,
SP1,2024-25,,Almeria,Las Palmas,1,2,A,10,10,4,3,,Pepe Mel,García Pimienta,"Francisco
                                    Hernández",Largie Ramazani,Munir El Haddadi; Sory Kaba
SP1,2024-25,,Barcelona,Real Madrid,1,2,A,15,13,3,4,,Xavi,Carlo Ancelotti,Jesús Gil,İlkay Gündoğan,Jude Bellingham; Jude Bellingham
SP1,2024-25,,Mallorca,Getafe,0,0,D,15,8,4,0,,Javier Aguirre,José Bordalás,Pablo González,,
SP1,2024-25,,Cadiz,Sevilla,2,2,D,10,20,5,10,,Mauricio Pellegrino,Quique Sánchez Flores,César Soto,Chris Ramos; Darwin Machís,Lucas Ocampos; Ivan Rakitić
SP1,2024-25,,Betis,Osasuna,2,1,H,9,7,2,1,,Manuel Pellegrini,Jagoba Arrasate,José Sánchez,Willian José; Isco,Rubén García
SP1,2024-25,,Vallecano,Sociedad,2,2,D,16,15,7,3,,Iñigo Pérez,Imanol Alguacil,Mateo Busquets,Abdul Mumin; Bebé,Mikel Oyarzabal; Mikel Oyarzabal
SP1,2024-25,,Ath Bilbao,Valencia,2,2,D,12,11,7,5,,Ernesto Valverde,Rubén Baraja,Jorge Figueroa,Óscar de Marcos; Álex Berenguer,Francisco Perez; Hugo Duro
SP1,2024-25,,Ath Madrid,Alaves,2,1,H,11,8,7,1,,Diego Simeone,Luis García,Alejandro Muñíz,Rodrigo Riquelme; Álvaro Morata,Ander Guevara
SP1,2024-25,,Granada,Villarreal,2,3,A,18,6,8,5,,José Ramón Sandoval,Marcelino,"Javier
                                    Villanueva",Ricard Sánchez; Myrto Uzuni,Gerard Moreno; Gerard Moreno; Alexander Sørloth
SP1,2024-25,2023-03-11,Las Palmas,Ath Madrid,2,1,H,9,13,3,5,,García Pimienta,Diego Simeone,Mario Melero,Kirian Rodríguez; Benito Ramírez,Álvaro Morata
SP1,2024-25,2023-04-11,Osasuna,Girona,2,4,A,15,11,3,4,,Jagoba Arrasate,Míchel,"José Luis
                                    Munuera",Ante Budimir; Ante Budimir,Iván Martín; Artem Dovbyk; Viktor Tsyhankov; Aleix García
SP1,2024-25,2023-04-11,Betis,Mallorca,2,0,H,22,8,3,1,,Manuel Pellegrini,Javier Aguirre,"Miguel
                                    Ángel Ortiz Arias",Willian José; Ayoze Pérez,
SP1,2024-25,2023-04-11,Celta,Sevilla,1,1,D,15,13,3,5,,Claudio Giráldez,Quique Sánchez Flores,"Alejandro
                                    Hernández",Carl Starfelt,Youssef En-Nesyri
SP1,2024-25,2023-04-11,Sociedad,Barcelona,0,1,A,13,12,6,4,,Imanol Alguacil,Xavi,Javier Alberola,,Ronald Araújo
SP1,2024-25,2023-05-11,Alaves,Almeria,1,0,H,23,9,3,3,,Luis García,Pepe Mel,Juan Pulido,Aleksandar Sedlar,
SP1,2024-25,2023-05-11,Valencia,Granada,1,0,H,11,6,2,1,,Rubén Baraja,José Ramón Sandoval,Víctor García,José Luis García Vayá,
SP1,2024-25,2023-05-11,Villarreal,Ath Bilbao,2,3,A,17,17,6,7,,Marcelino,Ernesto Valverde,Guillermo Cuadra,Gerard Moreno; Alexander Sørloth,Iñigo Ruiz de Galarreta; Nico Williams; Iñaki Williams
SP1,2024-25,2023-05-11,Real Madrid,Vallecano,0,0,D,22,4,5,0,,Carlo Ancelotti,Iñigo Pérez,Juan Martínez,,
SP1,2024-25,2023-06-11,Getafe,Cadiz,1,0,H,13,6,3,2,,José Bordalás,Mauricio Pellegrino,"Ricardo de
                                    Burgos",Borja Mayoral,
SP1,2024-25,2023-10-11,Ath Bilbao,Celta,4,3,H,21,13,12,5,,Ernesto Valverde,Claudio Giráldez,Juan Pulido,Oihan Sancet; Gorka Guruzeta; Gorka Guruzeta; Álex Berenguer,Iago Aspas; Jonathan Bamba; Jørgen Strand Larsen
SP1,2024-25,2023-11-11,Vallecano,Girona,1,2,A,22,19,9,7,,Iñigo Pérez,Míchel,Pablo González,Álvaro García,Artem Dovbyk; Sávio
SP1,2024-25,2023-11-11,Almeria,Sociedad,1,3,A,7,18,2,6,,Pepe Mel,Imanol Alguacil,"Isidro Díaz de
                                    Mera",Sergio Arribas,Mikel Oyarzabal; Carlos Fernández; Martín Zubimendi
SP1,2024-25,2023-11-11,Granada,Getafe,1,1,D,12,10,6,6,,José Ramón Sandoval,José Bordalás,Alejandro Muñíz,Gonzalo Villar,Borja Mayoral
SP1,2024-25,2023-11-11,Osasuna,Las Palmas,1,1,D,11,6,3,1,,Jagoba Arrasate,García Pimienta,Jorge Figueroa,Ante Budimir,Alberto Moleiro
SP1,2024-25,2023-11-11,Real Madrid,Valencia,5,1,H,16,10,7,4,,Carlo Ancelotti,Rubén Baraja,José Sánchez,Dani Carvajal; Vinicius Júnior; Vinicius Júnior; Rodrygo; Rodrygo,Hugo Duro
SP1,2024-25,2023-12-11,Barcelona,Alaves,2,1,H,11,8,6,1,,Xavi,Luis García,Mateo Busquets,Robert Lewandowski; Robert Lewandowski,Samu Omorodion
SP1,2024-25,2023-12-11,Sevilla,Betis,1,1,D,13,14,4,6,,Quique Sánchez Flores,Manuel Pellegrini,Jesús Gil,Ivan Rakitić,Ayoze Pérez
SP1,2024-25,2023-12-11,Ath Madrid,Villarreal,3,1,H,25,11,10,7,,Diego Simeone,Marcelino,"Francisco
                                    Hernández",Axel Witsel; Antoine Griezmann; Samuel Lino,Gerard Moreno
SP1,2024-25,,Alaves,Granada,3,1,H,8,11,5,4,,Luis García,José Ramón Sandoval,Javier Alberola,Abderrahman Rebbach; Samu Omorodion,Myrto Uzuni
SP1,2024-25,,Vallecano,Barcelona,1,1,D,10,15,4,4,,Iñigo Pérez,Xavi,"José Luis
                                    Munuera",Unai López,
SP1,2024-25,,Valencia,Celta,0,0,D,8,13,0,1,,Rubén Baraja,Claudio Giráldez,César Soto,,
SP1,2024-25,,Getafe,Almeria,2,1,H,18,13,5,4,,José Bordalás,Pepe Mel,"Alejandro
                                    Hernández",Mason Greenwood; Borja Mayoral,Largie Ramazani
SP1,2024-25,,Ath Madrid,Mallorca,1,0,H,20,8,3,1,,Diego Simeone,Javier Aguirre,Juan Martínez,Antoine Griezmann,
SP1,2024-25,,Villarreal,Osasuna,3,1,H,10,15,3,7,,Marcelino,Jagoba Arrasate,"Ricardo de
                                    Burgos",José Luis Morales; José Luis Morales; José Luis Morales,Catena
SP1,2024-25,,Sociedad,Sevilla,2,1,H,11,8,8,2,,Imanol Alguacil,Quique Sánchez Flores,"Miguel
                                    Ángel Ortiz Arias",Umar Sadiq,Youssef En-Nesyri
SP1,2024-25,,Cadiz,Real Madrid,0,3,A,13,14,4,5,,Mauricio Pellegrino,Carlo Ancelotti,Guillermo Cuadra,,Rodrygo; Rodrygo; Jude Bellingham
SP1,2024-25,,Betis,Las Palmas,1,0,H,12,15,6,4,,Manuel Pellegrini,García Pimienta,Víctor García,Willian José,
SP1,2024-25,,Girona,Ath Bilbao,1,1,D,12,13,2,6,,Míchel,Ernesto Valverde,Mario Melero,Viktor Tsyhankov,Iñaki Williams
SP1,2024-25,,Mallorca,Cadiz,1,1,D,16,6,3,3,,Javier Aguirre,Mauricio Pellegrino,"Javier
                                    Villanueva",Abdón Prats,Rubén Alcaraz
SP1,2024-25,2023-01-12,Las Palmas,Getafe,2,0,H,11,12,6,4,,García Pimienta,José Bordalás,Mateo Busquets,Julian Araujo; Cristian Herrera,
SP1,2024-25,2023-02-12,Girona,Valencia,2,1,H,9,9,5,3,,Míchel,Rubén Baraja,"Javier
                                    Villanueva",Cristhian Stuani; Cristhian Stuani,Hugo Duro
SP1,2024-25,2023-02-12,Ath Bilbao,Vallecano,4,0,H,9,11,4,3,,Ernesto Valverde,Iñigo Pérez,"Francisco
                                    Hernández",Gorka Guruzeta; Iñaki Williams; Nico Williams,
SP1,2024-25,2023-02-12,Real Madrid,Granada,2,0,H,11,1,4,0,,Carlo Ancelotti,José Ramón Sandoval,Pablo González,Brahim Díaz; Rodrygo,
SP1,2024-25,2023-02-12,Osasuna,Sociedad,1,1,D,9,17,3,5,,Jagoba Arrasate,Imanol Alguacil,Juan Pulido,Moi Gómez,Umar Sadiq
SP1,2024-25,2023-03-12,Mallorca,Alaves,0,0,D,7,7,3,4,,Javier Aguirre,Luis García,Jorge Figueroa,,
SP1,2024-25,2023-03-12,Almeria,Betis,0,0,D,20,6,8,2,,Pepe Mel,Manuel Pellegrini,Alejandro Muñíz,,
SP1,2024-25,2023-03-12,Sevilla,Villarreal,1,1,D,18,5,4,4,,Quique Sánchez Flores,Marcelino,"Isidro Díaz de
                                    Mera",Kike Salas,José Luis Morales
SP1,2024-25,2023-03-12,Barcelona,Ath Madrid,1,0,H,13,9,2,4,,Xavi,Diego Simeone,José Sánchez,João Félix,
SP1,2024-25,2023-04-12,Celta,Cadiz,1,1,D,26,2,7,1,,Claudio Giráldez,Mauricio Pellegrino,Jesús Gil,Jørgen Strand Larsen,Chris Ramos
